JobTitle,Location,Category,EducationLevel,EmploymentType,ExperienceLevel,Industry,ContracDuration,Shift,Compensation,JobType,PostedDate,JobDescription,JobURL
Special Education Teacher (LBS1) - 1.0 FTE - 25/26 SY -- $750 Semester Completion Bonus!!,"Palatine, Illinois",Category: Education,,Contract - Full Time,,,Contract Duration: 39 Weeks,Work Setting: Schools,Est. Pay: $1925 / Week,,Posted Date: 7/14/2025,"The Special Education Teacher, under the direction of the Special Education Program Administrator provides quality services to special education students, kindergarten through grade 12.  The Special Education Teacher has a commitment to team participation in planning and implementation of student programs including special instruction, tutorial assistance and consultation with general education staff.   
Minimum Requirements:  


Bachelor’s Degree from an accredited university preferred  
Valid state teaching certificate as required by state, contract/district regulations  
Minimum of one year experience in teaching environment preferred  
State Teacher Certification; Type: Standard Elementary Teaching preferred 
State Teacher Certification; Type: Standard Secondary Teaching preferred 
State Teacher Certification; Type: Standard Special Teaching preferred 
Endorsement: Learning Behavior Specialist (LBS1) preferred
Current CPR if applicable  
TB Questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or state regulation)  
Must meet all federal, state and local requirements 
Must be at least 18 years of age 

Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/883131-special-education-teacher-lbs1-1-0-fte-25-26-sy-750-semester-completion-bonus-palatine-illinois/
Speech Language Pathologist - Schools - 2025/2026 School Year,"Pensacola, Florida",Category: Education,,Contract Duration: 39 Weeks,,,Contract Duration: 39 Weeks,Work Setting: Schools,Est. Pay: $1218 / Week,,Posted Date: 5/6/2025,"Speech Language Pathologists Needed in Pensacola, FL for the 2025/2026 School Year!
The Speech-Language Pathologist in the school setting isresponsible for performing student evaluations as well as providing anddocumenting therapy services in accordance with the plan of care developed foreach individual student and the physician’s orders. 
Minimum Requirements:


Active Speech Language Pathologist (SLP) Licensure in thestate of assignment required 
Certificate of Clinical Competence in Speech-LanguagePathology (CCC-SLP) preferred and may be required by state/contract. 
Current CPR if applicable 
TB questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements 
Must be at least 18 years of age 


Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/869471-speech-language-pathologist-schools-2025-2026-school-year-pensacola-florida/
Physical Therapist (School) - ST,"Orlando, Florida",Category: Education,,Contract - Full Time,,,Contract Duration: 36 Weeks,Work Setting: Schools,Est. Pay: $1950 / Week,,Posted Date: 4/1/2025,"The Physical Therapist is responsible for performing studentevaluations, as well as providing and documenting therapy services inaccordance with plan of care developed for each student and per physician’sorders when applicable.  
Minimum Requirements: 


Current licensure as a Physical Therapist in the state ofpractice  
Graduate of an accredited school of Physical Therapy  
One (1) year of prior professional Physical Therapyexperience preferred 
Current CPR if applicable 
TB Questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements 
Must be at least 18 years of age


Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/862780-physical-therapist-school-st-orlando-florida/
Mild/Mod Special Education Teacher 25/26 School Year,"Novato, California",Category: Education,,Contract - Full Time,,,Contract Duration: 36 Weeks,Work Setting: Schools,Est. Pay: $1687 / Week,,Posted Date: 5/16/2025,"The Special Education Teacher, under the direction of theSpecial Education Program Administrator provides quality services to specialeducation students, kindergarten through grade 12.  The Special Education Teacher has a commitmentto team participation in planning and implementation of student programsincluding special instruction, tutorial assistance and consultation withgeneral education staff.   
Minimum Requirements:  


Bachelor’s Degree from an accredited universitypreferred  
Valid state teaching certificate as required by state,contract/district regulations  
Minimum of one year experience in teaching environmentpreferred  
State Teacher Certification; Type: Standard ElementaryTeaching preferred 
State Teacher Certification; Type: Standard SecondaryTeaching preferred 
State Teacher Certification; Type: Standard Special Teachingpreferred 
Endorsement: Learning Behavior Specialist (LBS1) preferred
Current CPR if applicable 
TB Questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements 
Must be at least 18 years of age 

Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/871591-mild-mod-special-education-teacher-25-26-school-year-novato-california/
Hiring Special Education Classroom Support,"Riverside, California",Category: Education,,Contract - Full Time,,,Contract Duration: 52 Weeks,Work Setting: Schools,Est. Pay: $21 / Hour,,Posted Date: 8/1/2025,"Amergis Healthcare Staffing is urgently seeking a Behavioral Classroom Aides to work in a school setting as a 1:1 or group classroom aide for the 25/26 school year!
The Behavior Technician or Instructional Aide works to facilitate educational and behavioral services with children and adults with special needs and collaborates with school professionals and other behavioral specialists to achieve learning and behavioral goals and objectives.
Essential Duties and Responsibilities:
 

At least 6 months of relevant experience r
Follows instructions from the BCBA, teacher, and/or program supervisor
Implements behavior management techniques in the form of prevention, intervention, and consequence strategies
Provides crisis intervention
Implements behavior intervention plans
Reviews and performs tasks to behavioral and ABA goals found within an IEP at the direction of an instructor
Strictly adheres to confidentiality requirements
Supports students across environments (i.e. classroom, playground, lunchroom, gym, sensory room, library, etc.)

Scheduling:

Monday – Friday
Morning & Day shifts
Pay Rate – up to $26/HR

Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/887818-hiring-special-education-classroom-support-riverside-california/
School Speech Language Pathologist - Full-Time - 2025/26 School Year,"Palatine, Illinois",Category: Education,,Contract - Part Time,,,Contract Duration: 39 Weeks,Work Setting: Schools,Est. Pay: $1950 / Week,,Posted Date: 6/17/2025,"The Speech-Language Pathologist in the school setting is responsible for performing student evaluations as well as providing and documenting therapy services in accordance with the plan of care developed for each individual student and the physician’s orders. 
Minimum Requirements:


Active Speech Language Pathologist (SLP) Licensure in the state of assignment required 
Certificate of Clinical Competence in Speech-Language Pathology (CCC-SLP) preferred and may be required by state/contract. 
Current CPR if applicable 
TB questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or state regulation)  
Must meet all federal, state and local requirements 
Must be at least 18 years of age 


Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/877597-school-speech-language-pathologist-full-time-2025-26-school-year-palatine-illinois/
School Psychologist,"Escondido, California",Category: Education,,Contract Duration: 36 Weeks,,,Contract Duration: 36 Weeks,Work Setting: Schools,Est. Pay: $2400 / Week,,Posted Date: 7/22/2025,"Hello!  
? 
Amergis Staffing is currently seeking SchoolPsychologist for the 2025/2026 school year in 


         Escondido

·        
·         ***Not the job or location you are looking for? Wehave other jobs available! Email back with your resume and preferredlocation(s) for a personalized list of job optionsfor you!*** 
? 
Position Details:? 
Travel Weekly Pay: $2,400/gross weekly (Outside 50miles) 
Local Pay: $65/hr
Start Date:?8/19/25
Hours Per Week: 35 hours (Full Time) 
Schedule:?Monday- Friday 
Length:?2025/2026School Year 
 
Additional Details:?Weeklypay, Benefits – Medical/Dental/Vision 
? 
? 
Amergis Advantages 
We have offices in most major cities across thecountry 
Health/Dental/Vision Insurance available on 1st?of month 
WEEKLY pay through direct deposit 
Expense reimbursement for certifications and statelicenses  

Accessible via office phone, email, or text 


The School Psychologist works to support students through avariety of mental health and developmental issues and aids in qualifyingstudents for additional support services. The School Psychologist is responsible for providing on-sitepsychological services to students under the jurisdiction of the state anddistrict.  
Minimum Requirements: 


Must maintain current State licensures and/or certificationsin state of assignment  
Experience in pediatric and adolescent population ispreferred  
Master’s degree in psychology preferred  
Complies with all relevant professional standards ofpractice  
Current CPR if applicable 
TB questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements  
Must be at least 18 years of age  

































Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/885090-school-psychologist-escondido-california/
School Psychologist 25/26 School Year,"Kennebunk, Maine",Category: Education,,Contract - Full Time,,,Contract Duration: 39 Weeks,Work Setting: Schools,Est. Pay: $3000 / Week,,Posted Date: 8/7/2025,"The School Psychologist works to support students through avariety of mental health and developmental issues and aids in qualifyingstudents for additional support services. The School Psychologist is responsible for providing on-sitepsychological services to students under the jurisdiction of the state anddistrict.  
Minimum Requirements: 


Must maintain current State licensures and/or certificationsin state of assignment  
Experience in pediatric and adolescent population ispreferred  
Master’s degree in psychology preferred  
Complies with all relevant professional standards ofpractice  
Current CPR if applicable 
TB questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements  
Must be at least 18 years of age  

































Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/888906-school-psychologist-25-26-school-year-kennebunk-maine/
School Psychologist $60-70/hour,"Kennewick, Washington",Category: Education,,Contract Duration: 40 Weeks,,,Contract Duration: 40 Weeks,Work Setting: Schools,Est. Pay: $2637 / Week,,Posted Date: 5/21/2025,"The School Psychologist works to support students through avariety of mental health and developmental issues and aid in qualifyingstudents for additional support services. The School Psychologist is responsible for providing on-sitepsychological services to students under the jurisdiction of the state anddistrict.  
Minimum Requirements: 


Must maintain current State licensures and/or certificationsin state of assignment  
Experience in pediatric and adolescent population ispreferred  
Master’s degree in psychology preferred 
Current CPR if applicable 
TB Questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements 
Must be at least 18 years of age  
































Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/872577-school-psychologist-60-70-hour-kennewick-washington/
Behavior Technician - Bilingual Turkish - School Year 25-26 -  Pay $ 25/Hr.,"Park Ridge, Illinois",Category: Education,,Contract - Full Time,,,Contract Duration: 36 Weeks,Work Setting: Schools,Est. Pay: $875 / Week,,Posted Date: 8/1/2025,"Modality:  


Bilingual TA – Turkish




Grade Level:


High School




Start/End date:


Aug 18th 2025 – EOY




Start/End time:


7:30am-3:30pm





The Behavior Technician works to facilitate educational andbehavioral services with children and adults with special needs andcollaborates with school professionals and other behavioral specialists toachieve learning and behavioral goals and objectives. 
Minimum Requirements:


High School diploma or equivalent required 
Two (2) years of pediatric experience preferred
Current CPR if applicable 
TB questionnaire, PPD or chest x-ray if applicable   
Must meet all federal, state and local requirements 
Must be at least 18 years of age



Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/887682-behavior-technician-bilingual-turkish-school-year-25-26-pay-25-hr-park-ridge-illinois/
